Company,Female,Male,White,Asian,Latino,Black,Multi,Other,Undeclared,,notes,,,,,,,,
Company,Female %,Male %,% White,% Asian,% Latino,% Black,% Multi,% Other,% Undeclared,,data date,In most cases gender data are global while ethnicity data are US only. Note - data don't always sum because of rounding.,Data for parent company - if no data,,Source,Link,Link,Employees,source link
Yahoo!,37,62,50,39,4,2,2,2,-,,June 2014.,,,,Yahoo!,http://yahoo.tumblr.com/post/89085398949/workforce-diversity-at-yahoo,,"12,300.00",https://investor.yahoo.net/faq.cfm
Google,30,70,61,30,3,2,4,<1,-,,Jan 2014.,,,,Google,http://www.google.com/diversity/at-google.html#tab=overall,,"51,564.00",https://investor.google.com/financial/tables.html
Apple,30,70,55,15,11,7,2,1,9,,June/Aug 2014,,,,Apple,http://www.apple.com/diversity/,,"80,000.00",https://www.apple.com/about/job-creation/
Apple (excluding undeclared),30,70,60,16,12,8,2,1,-,,June/Aug 2014,,,,Apple,http://www.apple.com/diversity/,,-,
Cisco,23,77,54,-,-,-,-,-,-,,gender FY 2013. ,Cisco only supplies Caucasion / non-Caucasian ethnicity breakdown.,,,"Cisco, page D13",http://www.cisco.com/assets/csr/pdf/CSR_Report_2013.pdf,,"78,000.00",http://www.macroaxis.com/invest/ratio/CSCO--Number-of-Employees
eBay,42,58,61,24,5,7,1,1,-,,"June 30, 2014",,,,eBay,http://blog.ebay.com/building-stronger-better-diverse-ebay/,http://blog.ebay.com/wp-content/uploads/2014/07/eBay-Data-Diversity.jpg,"31,800.00",http://www.macroaxis.com/invest/ratio/EBAY--Number-of-Employees
HP,33,67,72,6,14,7,1,<1,-,,2013,,,,HP,http://h20195.www2.hp.com/V2/GetPDF.aspx/c03742922.pdf,,"317,500.00",http://www.statista.com/statistics/264922/number-of-employees-at-hewlett-packard-since-2001/
Indiegogo,45,55,64,23,8,2,-,3,-,,August 2014. ,no mixed race category.,,,Indiegogo,http://go.indiegogo.com/blog/2014/08/diversity-matters-always.html,,100.00,http://fortune.com/2014/08/21/indiegogo-gender-diversity-data/
Nvidia,16,84,38,44,3,1,14,<1,-,,2014,,,,Nvidia,http://www.nvidia.com/object/fy14-gcr-workforce-performance.html,,"8,800.00",http://www.macroaxis.com/invest/ratio/NVDA--Number-of-Employees
Dell,30,70,69,9,11,10,-,1,-,,"2006-10, averaged over 5 years. ",Asian includes Pacific Islanders,,,CNNMoney,http://money.cnn.com/interactive/technology/tech-diversity-data/,,"111,300.00",http://www.statista.com/statistics/264917/number-of-employees-at-dell-since-1996/
Ingram Micro,42,58,63,11,16,10,-,0,-,,"2006-10, averaged over 5 years. Asian includes Pacific Islanders",Asian includes Pacific Islanders,,,CNNMoney,http://money.cnn.com/interactive/technology/tech-diversity-data/,,"1,200.00",http://www.ingrammicro.com.cn/careers/findpage.cfm?tempid=india&pageid=3365
Intel,25,75,61,26,9,4,-,1,-,,"2006-10, averaged over 5 years. Asian includes Pacific Islanders",Asian includes Pacific Islanders,,,CNNMoney,http://money.cnn.com/interactive/technology/tech-diversity-data/,,"107,600.00",http://www.intc.com/intel%2Dannual%2Dreport/2013/10K/10-employees.html
Groupon,47,53,71,15,5,4,-,4,-,,2014,,,,Groupon,https://www.groupon.com/blog/cities/groupon-releases-diversity-data,,"10,000.00",http://investor.groupon.com/faq.cfm
